rating,title,text,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
2.0,Not what it looks like.,"The symbol is too small, You cannot see it at all.  The picture showed 3 rings in 3 different colors. There is just one.",B083CW33RC,B083CW33RC,AH7IRUTOMHYWQBKFJOHPGWHRBVSQ,1616535756455,0,True
5.0,Good soft jacket,"Fits nice, a little thinner then i expected but its a good jacket",B089PVPM42,B089PVPM42,AHQL6MJJQF75D6S4LTXON2KABDSQ,1602863655878,0,True
3.0,Quality control issue Ink used for pattern on dresses  imprinted on a towel,This dress pattern is definitely lovely on the photo.  In reality the colors do not match at all.  The red is glaring red not the look of the photo. I actually re order it accidentally thinking why don't have this dress yet to realize I have<br />three and it is on account of picture and reality do not match even remotely.  I would love to have one that actually<br />looks like the advertisement.  Just wearing it gardening and running around the house.  It is made well.,B07PGDRFQW,B07PGDRFQW,AHX6UZ7C3J73ZMILW7WSLUQGA2CQ,1595875805891,5,True
5.0,"These look great, weight is nice","High quality, great value",B00IGG6EP0,B00IGG6EP0,AGCSCDFX4ZO4WC56YAKWGFQ6T74A,1576883905341,0,True
5.0,"These socks are "" Amazing"".",These socks are the most comfortable socks I have every owned. They are so soft feels like you are walking on cushions and I'm loving the different shades of pink (my favorite color). They have became the only socks I wear for my workouts and to work ( I spend 10-12 hrs on my feet daily) and afterwards my feet never feel tired and sore like they used to.,B01M6URMV5,B01M6URMV5,AGQLLKAMQI6JE5Y63L4LSIDHLGEA,1490653191000,1,True
3.0,Not capris like in pic but shorts.,Loved the product just too small & was short set not capri set as shows in pic so sent back.,B0945SV2GD,B0945SV2GD,AEYYYWE4FE2DCU4REHAHIT4GGV2Q,1640646867696,0,True
5.0,Great fit,Loved the fit and style,B099QLY4XN,B099QLY4XN,AER4PZ5BJW24FCPNIZBI3NA45SFQ,1641844525373,1,True
5.0,Great fabric!!,Great dress & super comfy,B08LNWYF2C,B08LNWYF2C,AGJTMFIQ3QDTGZUNAYS5JXQXDQBA,1620018234551,0,True
1.0,One Star,I need to return this product.. Horrible,B0159X4LA2,B0159X4LA2,AGZKUWUKAMIILTHXEVHCBEBEV65A,1474303817000,0,True
1.0,One Star,This band fell apart after a few days.,B01MXV6S9Z,B01MXV6S9Z,AFGHKE4JJXT4IZHJIOGOIKNNCIQQ,1491162273000,0,True
4.0,Pretty but almost translucent,I changed my review from 5 stars to 4 stars simply because of the translucent nature of the beads.  The string can be seen through the beads; this is pretty but not as nice as i had hoped.,B077SWKCD9,B077SWKCD9,AEG4NGGQDRNG7EZGOJKNMVW3AUZQ,1547068325606,0,True
5.0,Look good,Comfortable and look good to wear anything,B07Y1HG98K,B07Y1HG98K,AETXDDFPSUJU52BQNPAYL6N3473A,1624315172083,0,True
4.0,Love the look but can't get them to sit close ...,Love the look but can't get them to sit close to my ear ... maybe just too heavy for me. Definitely will enjoy wearing these. they get a 5 for appearance and quality.,B0119ONL5G,B0171REJX8,AHR5GFSHWXM3FBNXOT6CZXAO4RVA,1447450086000,0,True
5.0,Its got Flamingos,Its RJC shirt which fits me best.,B01GQRPYZQ,B01GQRPYZQ,AECLT7A5I6JDSTT26P4PVPY3KWOA,1560291638342,0,True
3.0,"Nice looking, inexpensive..... Sadly not durable","I like the look of all three of these chains, but unfortunately the rubber tip came off within a week.",B01AXGJ6CS,B01AXGJ6CS,AGZIDPC6Q2QNVBQRQFXHEYSJ2SJA,1472853259000,0,True
5.0,Great Sunglasses Case,This case is exactly as represented and holds my large sunglasses perfectly.  It is very pretty and the cleaning cloth and repair tool were nice bonuses.  I would recommend this product and vendor to anyone.,B07BC55XJH,B07BC55XJH,AFFBO3YU6MIN4YL257FCHQVXPX6A,1555424039312,0,True
5.0,Same as pic.,"This is exactly as you see it in the pic,the quality is superb,very very detailed!just love this piece.",B09PV9FKH7,B09PV9FKH7,AECSHQAZV3ORVO2D5VRKBSGTI5YQ,1652397556692,0,True
4.0,Christmas spirit in a PJ,"This one screams what if “an ugly Christmas sweater and a comfy PJ had a baby” lol. In all honesty, this one is comfy and filled with Christmas spirit. It will work really well with my wife for Christmas Day to open gifts and chill. The only reason I didn’t give it a five star rating was that it runs way too big, so if looking to order, should order one size smaller.<br />If my review helped you in any way, please let me know by clicking the ""helpful"" button below.  Any questions you may have, feel free to ask… Thank you!",B07XXRBZK9,B07XXRBZK9,AFC5MFTGAM4N2SK3QGBSMPC6ICQA,1571682880251,2,False
2.0,Inconsistent sizing and flaws,"I ordered this dress and was happy with it until further inspection. On the inside back bodice there was a 10” piece of tape sewn in. So I requested a replacement. When the replacement came it was marked the same size but smaller everywhere including length. Very disappointed because it’s a cute, dress with nice fabric. Perfect summer weight.",B09VH4DFJ5,B09VH4DFJ5,AGXQQQMU4WPTJVWPIV4OYM4JBEPQ,1656165762796,0,True
1.0,This is NOT a 3x,3x should be larger than a 2x but this shirt is more towards a regular large.,B09L4QNMKJ,B09L4QNMKJ,AG4U2WR2HR2CMC4O4XORKQBUPZLA,1650048871265,0,True
2.0,Runs small,Runs really small . I ordered a 4-5 t and it fits my 1 year old who wears 12-18 months,B094H8WXG4,B094H8WXG4,AHRMU5BEFCZ7YQX7AVEKJDT6NOPA,1627620353622,1,True
4.0,Keychain,"Love the cuteness of it, sad that it unravels so much.",B07B2NVT74,B07B2NVT74,AGBQMKS7CTOURYA6MKKDPKZXL7LQ,1561912801367,0,True
1.0,Do not buy!!!,Not like the picture at all! Terrible. Do not waste your money.,B08ZSQRDZC,B08ZSQRDZC,AE7WIIIHMFLRNHCZIGGL7Z2PT36A,1620684344032,4,False
5.0,Five Stars,Larger and better than expected. Very attractive.,B00F9FYFIO,B00F9FYFIO,AH56TVFIMXM2BAES2DANVRCCOX6A,1444166047000,0,True
5.0,Nice,It’ll work this year,B07D4H4GMQ,B07D4H4GMQ,AHC7CP4HTB7IPUK7DC3BUKKETYTA,1566167415883,0,True
1.0,Not made for women with boobs!!  All the buttons popped open when I tried it on!,Fit was WAY too small across bust,B07BNZ6HCH,B07BNZ6HCH,AEYHHUDK2ORU3Z5KC5RYLOGIN5GA,1527616385037,1,True
5.0,Gorgeous material and texture - higher quality than I expected!,Purchased this bowtie for my daughter's &#34;White rabbit&#34; halloween costume.  I was surprised and impressed by how beautiful it is and the quality and texture of red fabric.  If only I had more uses for it!,B00KBFS2EK,B00KBFS2EK,AGJWUNGKWCM3CBDQSDKDDPKXIOPQ,1522852712734,0,True
5.0,Love this pin,"I love this pin & the statement it makes. I do agree with a prior review, it would’ve made more sense to have the boxing glove facing up, but it’s still a awesome pin.",B00ESNH83C,B07CRSFRTY,AHJWAF2VTZDXWKGIIQEZSBCKLOAQ,1508115967293,0,True
2.0,Disappointed when my package only contained 11rocks instead of 12.,"The description said there were 12 rocks; however,  I only received 11 as shown in the picture.",B075Q24W9X,B075Q24W9X,AHL4FE4XDUUGFDP5BTMOYKNO5UGA,1620077745898,0,True
5.0,Love these gloves and need clean white for my eczema ...,Love these gloves and need clean white for my eczema condition. Perfect and the fit is snug and not loose.,B000U0DH8C,B000U0DH8C,AHNJGT2AWQ7EV7GEV6D3K7E4KKPQ,1468947093000,5,True
1.0,Not American made,This shirt is not an American size,B07KPYMSRT,B07KPYMSRT,AHJGAMYKT5BWNISPTD2OSHQ5MEOA,1558811846739,0,True
5.0,Everything,This dress is everything,B07YYV9MX6,B07YYV9MX6,AHAKSXXDE3RVCGY3YKCZYTGPLBEQ,1620611762164,0,True
3.0,Cute but cheaply made,The skirt was ok. Looked so cute on my friend I got one too. I hate the material but it looks nice. Wrinkles super easy.,B075ZS8YZ6,B075ZS8YZ6,AGJFHTWPUNCUT3MDKLHQL7ZMATVA,1578687430211,0,True
5.0,Great job on the gloves.,The gloves fit just right.  Great job.,B0094IDFBK,B00K82KZDW,AFV4TJJ2YGPBSN43HFK3E4Q2OVBA,1573611675117,0,True
3.0,Three Stars,too hard to clasp. thing too small on all of them.,B013B1BMA6,B013B1BMA6,AFF5MUX5RWWEXCWVJ3QBGLAGM6LQ,1461638752000,0,True
3.0,ok,ok,B01B17UI5M,B01B17UI5M,AHNLICL4EWXCW6EE6W5GBCVM7FVA,1493159301000,1,True
5.0,a pretty gift for ladies,pretty gift for a beautiful friend whom i havent seen in years tho overall ot makes a nice gift for any lady,B01MQ2R1GD,B01MQ2R1GD,AHRZUUEN3B7P4J64ZAEBUX7DZCEQ,1539901726840,0,True
5.0,I like them.,I use these shoes for almost every day wear.,B01GEYFTF6,B01GEYFTF6,AGJH7UU6QOAZFTSATVRARS7WMMYQ,1562264482904,0,True
5.0,Would definitely purchase again,I got this as one of my husbands anniversary gifts. Both things were very nice. If you want something that shows the cowboy logo prominently this might not be the product for you. Because the Cowboys symbol is in the same blue as the watch. My husband liked that but it does not stand out if that’s what you’re looking for.,B08M5G7K5N,B08M64CKBB,AE636MF6SWYN6LB7LWB7GATFP5EQ,1638470058463,0,True
5.0,I love this nose ring,"I love this nose ring, I've had it for a bit now, even wore it everyday as a simple ring for work. The hinge stays closed, even with lots of nose blowing. It has only started to tarnish as of recently. Again, I've been wearing it every day and it's gotten wet between the showers and face washing. If you're looking for a decently cheap ring thats simple, get it.",B018ZULK14,B018ZULK14,AFYSD2SMCY7ELKY3D6E235JHQV6A,1462903920000,0,True
5.0,simple quality nylon velcro band,"Fits perfectly with my Fitbit, this is a simple but good quality replacement band. It's made of nylon with a velcro fastener (not a buckle-type) which I personally prefer.",B08JVB8BRK,B08JTPQNYQ,AESMJNTHXHBD3BPAWXXAMZZPEPSA,1670009501620,0,True
5.0,Five Stars,Love this dress it fits right and shapes your body love it!! I bought the pink too!!,B01L6ECC40,B01L6ECC40,AFBCRG4IW5UKRZKLLMUYEZ2PF2HA,1478986867000,2,True
3.0,"They’re tights, not leggings","They’re fleece tights, not leggings. Very soft inside.",B01LYNA28Z,B01LYNA28Z,AHPZ66CLJ434JNIUBF5BAN4T6HAQ,1539810873476,2,True
4.0,Great Price!,"First off, these are not see through at all which is nice. I am able to bend over in them with no issues. The pockets fit my phone perfectly so I’m able to workout with it on me. Overall, these are very good for the price & I will be purchasing in more colors!",B08HCQQXXT,B08HCQQXXT,AG7WJ3P4KU3LEDPGOQ6FRZZ2NTLQ,1632689197401,0,True
1.0,Gross fabric,The fabric is gross. I returned it!,B07YG6J6QS,B07YG6J6QS,AEHBMBS2XIQPJWLGHSSPNXWHG5KA,1577249109176,0,True
5.0,great,Love it,B000VX1LFO,B000VX1LFO,AHFQMG43WBZ63E3Y6M63MCV6TXHA,1425185787000,0,True
3.0,Too big,Lightweight but way too big for my face. I wish they made these in men's and women's sizes instead of unisex,B0725C6W7K,B0725C6W7K,AFFCBQPWSW6HQ3OFOPJI3F7UK2WQ,1508118327778,0,True
5.0,I love it. Plan to order more colors,It is exactly what I was looking for!  I love it. Plan to order more colors.,B00Q5QLB06,B00Q5QLB06,AGDOBJBMIKOAW77N7SUMBFHDTBUQ,1463510522000,0,True
3.0,Three Stars,"Got it for my coworker, she loves Betty boop",B008J59298,B008J59298,AFMKQ66KXCCSOFDJXW7STOTTBGKQ,1444845351000,0,True
1.0,Not what I expected,This was a classic case of lack of information and false advertising. I highly recommend not buying this product.,B07KFGRSTH,B07KFGRSTH,AFNMP5WCGU33O6NWBFXS7WKU427A,1563738142255,0,True
5.0,Love it,For The HORDE !,B07J2R2JJ1,B07J2R2JJ1,AF2RBM5JSWEKBECIASRJVYM66XGA,1562193302210,0,True
3.0,Very scratchy fabric,"The fabric this dress is made of feels very scratchy and cheap.  I'm tall (5'10"") and wear a size 12/14, so I ordered an XL.  The waist of the dress hit under my bust and was very unflattering.  I decided to return it.",B07M8B4S95,B07M8B4S95,AEKLUWUN5UPPDPN34TG2DO7774AQ,1548263112009,25,True
5.0,Beautiful,Beautiful!,B08CMQPXTW,B08CMQPXTW,AH2L6EWWAV7WQ6T4U5F53VVXAHVA,1600496178478,0,True
